threshold,margin,dollar_amount,limit_price,num_trades,wins,losses,win_rate,avg_roi,sharpe_ratio,total_roi,avg_fill_rate,min_fill_rate,kelly_fraction,kelly_roi
0.55,0.03,1001.0,0.5800000000000001,28,20,8,0.7142857142857143,0.15071776000481743,0.20311875591353126,4.220097280134887,1.0,0.9999999999999999,0.2391261767248496,0.018892072600720233
0.55,0.03,2001.0,0.5800000000000001,28,20,8,0.7142857142857143,0.1304440098450957,0.17897360342823052,3.6524322756626812,1.0,0.9999999999999999,0.21695501898607575,0.014771152198196136
0.55,0.03,3001.0,0.5800000000000001,28,20,8,0.7142857142857143,0.11174219777043275,0.15593591634994053,3.128781537572117,1.0,0.9999999999999997,0.19455073081455937,0.011297200411028774
0.55,0.03,4001.0,0.5800000000000001,28,20,8,0.7142857142857143,0.09275701676159412,0.13173662026243074,2.5971964693246354,1.0,0.9999999999999999,0.1695705215236305,0.008133505962695686
0.55,0.03,5001.0,0.5800000000000001,28,20,8,0.7142857142857143,0.07240102093450658,0.10482800117621047,2.027228586166185,1.0,0.9999999999999997,0.13987179341411696,0.005205977041071508
0.55,0.03,6001.0,0.5800000000000001,28,20,8,0.7142857142857143,0.05176544989326344,0.07646276909885019,1.4494325970113764,1.0,0.9999999999999997,0.10612164186056774,0.0028051187453788096
0.55,0.03,7001.0,0.5800000000000001,28,20,8,0.7142857142857143,0.031627893742104604,0.0476559771919082,0.8855810247789289,1.0,0.9999999999999998,0.068950837884935,0.0011053409110983736
0.55,0.03,8001.0,0.5800000000000001,28,20,8,0.7142857142857143,0.011535839964737346,0.017736704980115373,0.3230035190126461,1.0,0.9999999999999998,0.02684297268814718,0.000155648055688129
0.55,0.03,9001.0,0.5800000000000001,28,20,8,0.7142857142857143,-0.006831954357669201,-0.010704138895236161,-0.19129472201473785,1.0,0.9999999999999998,,
0.55,0.03,10001.0,0.5800000000000001,28,20,8,0.7142857142857143,-0.0233738344031162,-0.0372617972394015,-0.6544673632872536,1.0,0.9999999999999997,,
0.55,0.03,11001.0,0.5800000000000001,28,20,8,0.7142857142857143,-0.03793663647737016,-0.06142758654870222,-1.0622258213663645,1.0,0.9999999999999999,,
0.55,0.03,12001.0,0.5800000000000001,28,20,8,0.7142857142857143,-0.04912785225171501,-0.08054961638163563,-1.3755798630480203,1.0,0.9999999999999997,,
0.55,0.03,13001.0,0.5800000000000001,28,20,8,0.7142857142857143,-0.0593493659386558,-0.09843104541153039,-1.6617822462823626,1.0,0.9999999999999997,,
0.55,0.03,14001.0,0.5800000000000001,28,20,8,0.7142857142857143,-0.0687375331317177,-0.11521756241757543,-1.9246509276880959,1.0,0.9999999999999998,,
0.55,0.04,1.0,0.5900000000000001,28,20,8,0.7142857142857143,0.15660629167539497,0.210083795980029,4.384976166911058,1.0,1.0,0.24531928730897098,0.020165103352967728
0.55,0.04,1001.0,0.5900000000000001,28,20,8,0.7142857142857143,0.139748233050806,0.1902528789307997,3.912950525422567,1.0,0.9999999999999999,0.2275155634970431,0.01663069911373327
0.55,0.04,2001.0,0.5900000000000001,28,20,8,0.7142857142857143,0.12054847709611294,0.1669527551709028,3.3753573586911623,1.0,0.9999999999999998,0.20546339602037575,0.012899685326359212
0.55,0.04,3001.0,0.5900000000000001,28,20,8,0.7142857142857143,0.10168382466462968,0.1432788212079555,2.847147090609631,1.0,0.9999999999999999,0.18171393853100445,0.009578417360847302
0.55,0.04,4001.0,0.5900000000000001,28,20,8,0.7142857142857143,0.0822919187471023,0.11807192224992094,2.3041737249188654,1.0,0.9999999999999999,0.15478234275429006,0.006567725637501631
0.55,0.04,5001.0,0.5900000000000001,28,20,8,0.7142857142857143,0.06184992623956439,0.09049405154498534,1.731797934707803,1.0,0.9999999999999997,0.12317311039714421,0.0039035023349884845
0.55,0.04,6001.0,0.5900000000000001,28,20,8,0.7142857142857143,0.041335262683094884,0.06170410669178407,1.1573873551266567,1.0,0.9999999999999997,0.0874844344235279,0.0018397318253826622
0.55,0.04,7001.0,0.5900000000000001,28,20,8,0.7142857142857143,0.021282910405441977,0.03241233517264645,0.5959214913523754,1.0,0.9999999999999998,0.047983234254682684,0.0005154837664218537
0.55,0.04,8001.0,0.5900000000000001,28,20,8,0.7142857142857143,0.001431962838636542,0.0022251298985185766,0.040094959481822734,1.0,0.9999999999999998,0.003450802227119553,2.4722479163852285e-06
0.55,0.04,9001.0,0.5900000000000001,28,20,8,0.7142857142857143,-0.01640032785562821,-0.025959292551174157,-0.4592091799575899,1.0000000000000002,0.9999999999999998,,
0.55,0.04,10001.0,0.5900000000000001,28,20,8,0.7142857142857143,-0.03228691544177125,-0.05197118483348113,-0.9040336323695951,1.0,0.9999999999999997,,
0.55,0.04,11001.0,0.5900000000000001,28,20,8,0.7142857142857143,-0.04601736984272061,-0.07518361870008905,-1.2884863555961772,1.0,0.9999999999999997,,
0.55,0.04,12001.0,0.5900000000000001,28,20,8,0.7142857142857143,-0.056677134226040427,-0.0937186983911643,-1.586959758329132,1.0,0.9999999999999997,,
0.55,0.04,13001.0,0.5900000000000001,28,20,8,0.7142857142857143,-0.06648770438464864,-0.11116718209903272,-1.861655722770162,1.0,0.9999999999999997,,
0.55,0.04,14001.0,0.5900000000000001,28,20,8,0.7142857142857143,-0.07548050014883313,-0.12750246262580883,-2.1134540041673278,1.0,0.9999999999999998,,
0.55,0.05,1.0,0.6000000000000001,28,20,8,0.7142857142857143,0.14023274402121846,0.1909338721886575,3.926516832594114,1.0,1.0,0.22818347509567202,0.016741458640126217
0.55,0.05,1001.0,0.6000000000000001,28,20,8,0.7142857142857143,0.12572932494602504,0.17341637705344548,3.5204210984887006,1.0,0.9999999999999999,0.2117659986491449,0.013885239490583068
