threshold,margin,dollar_amount,limit_price,num_trades,wins,losses,win_rate,avg_roi,sharpe_ratio,total_roi
0.55,0.09,1001.0,0.64,110,72,38,0.6545454545454545,-0.019403933511815935,-0.02716432667708651,-2.134432686299752
0.55,0.09,2001.0,0.64,110,72,38,0.6545454545454545,-0.0314659478926535,-0.04458537009610871,-3.461254268191883
0.55,0.09,3001.0,0.64,110,72,38,0.6545454545454545,-0.042648422046089665,-0.06111806339392211,-4.691326425069862
0.55,0.09,4001.0,0.64,110,72,38,0.6545454545454545,-0.05423666749866396,-0.07864926688592468,-5.966033424853034
0.55,0.09,5001.0,0.64,110,72,38,0.6545454545454545,-0.06598378682982599,-0.09685079144033586,-7.258216551280865
0.55,0.09,6001.0,0.64,110,72,38,0.6545454545454545,-0.07938675746848373,-0.11818343847409105,-8.73254332153321
0.55,0.09,7001.0,0.64,110,72,38,0.6545454545454545,-0.09397454122355821,-0.1421217152014415,-10.337199534591397
0.55,0.09,8001.0,0.64,110,72,38,0.6545454545454545,-0.10764231512646448,-0.16525783722986379,-11.840654663911094
0.55,0.09,9001.0,0.64,110,72,38,0.6545454545454545,-0.12042004139617642,-0.18754844743686364,-13.246204553579405
0.55,0.09,10001.0,0.64,110,72,38,0.6545454545454545,-0.13212261699208305,-0.20855210883275924,-14.533487869129146
0.55,0.09,11001.0,0.64,110,72,38,0.6545454545454545,-0.1429438351646089,-0.22851369590525134,-15.72382186810698
0.55,0.09,12001.0,0.64,110,72,38,0.6545454545454545,-0.15300802462750168,-0.24756734013504014,-16.83088270902519
0.55,0.09,13001.0,0.64,110,72,38,0.6545454545454545,-0.16217784864138793,-0.26534458321556953,-17.83956335055267
0.55,0.09,14001.0,0.64,110,72,38,0.6545454545454545,-0.17052358952422172,-0.28187782421068247,-18.75759484766439
0.55,0.09999999999999999,1.0,0.65,110,72,38,0.6545454545454545,-0.01703448202787244,-0.023814500656845657,-1.8737930230659683
0.55,0.09999999999999999,1001.0,0.65,110,72,38,0.6545454545454545,-0.029289714348783205,-0.04144119344639243,-3.2218685783661525
0.55,0.09999999999999999,2001.0,0.65,110,72,38,0.6545454545454545,-0.04076223768117839,-0.058345578249489764,-4.483846144929623
